type_code,section,so_id,unite,caption
1.1,identification,,4.7,"Maison villageoise typique au 727, rue Lacasse. La marge de recul avant est limitée et un accès latéral permet un accès à la cour arrière. UP4.7_Lacasse_727."
1.1,implantation,,4.1,Maisons villageoises contiguës dont la marge de recul avant Maison villageoise jumelée dont la volumétrie est typique. La est un peu plus importante. UP4.1_St-Augustin_124-126. galerie occupe toute la largeur du bâtiment et la composition est symétrique. UP4.9_Ste-Margueritte_90-92 (2).
1.1,materiaux,,4.1,La maison Clermont érigée vers 1870 présente des façades recouvertes de planche et de bardeau de bois ainsi qu’un toit revêtu de tôle. UP4.1_St-Augustin_110.
1.1,variantes,,,Maison villageoise à deux étages et demi dont les façades sont Maison villageoise à 2.5 étages sans galerie avant. Le toit à revêtues de planches à clins. Elle a également conservé des deux versants est percé par deux lucarnes. ouvertures traditionnelles en bois. UP4.1_Rose-de-Lima_124 UP4.1_Ste-Émilie_3936. (2).
1.1,variantes,,,Maison villageoise à toit en mansarde. On remarque le Modeste maison villageoise à toit en mansarde. UP4.1_Stpassage latéral donnant accès à la cour arrière. Augustin_96. UP4.1_Bourget_147.
1.1,variantes,,,Maison villageoise avec lucarne secondaire dans l’unité Sur la rue du Couvent se trouve une petite série de quatre William-Parkin. UP3.19_Dunn_4908. maisons de cette variante. UP4.6_Couvent_751-747.
1.1,variantes,,,Maison villageoise à toit plat sur la rue Bourassa. UP4.14_Bourassa_705-713.
1.1,variantes,,,Maison villageoise à toit plat avec fausse mansarde. UP4.14_Vaillant_5097-5099.
1.2,identification,,,Fig. 1.2.1 : Maison urbaine située sur la rue Coursol entre les
1.2,identification,SO0243,,"Fig. 1.2.2 : Maison urbaine jumelée avec balcon et fenêtre en rues Vinet et du Dominion. SO0243. saillie, située sur la rue de Rushbrooke entre les rues Charlevoix et d’Hibernia. SO0210."
1.2,variantes,SO0004,,"Fig. 1.2.4 : Variante isolée de la maison urbaine, avec balcon, Fig. 1.2.5 : Maison urbaine à trois alignements verticaux, 846, située sur la rue du Couvent entre les rues Saint-Antoine Ouest rue Agnès. SO0004. et Saint-Jacques. SO0010."
1.3,identification,,3.12,"Maison « boomtown » typique située au 5975, rue Hamilton. Autre exemple représentatif situé au 6381, rue Hadley. UP3.12_Hamilton_5975. UP3.8_Hadley_6381."
1.3,traitement,,,"Exemples de maisons « boomtown » plus ornées sur les rues Beaulieu et Hamilton, comprenant un parapet, des amortissements et des insertions en pierre. UP3.12_Hamilton_5798 et UP3.12_Beaulieu_5985."
1.3,implantation,,3.16,Maison « boomtown » avec peu de marge de recul par rapport Maison implantée en fond de parcelle et bénéficiant d’une cour à la rue. UP3.16_D'Aragon_5944. avant profonde. UP3.16_Dumas_6599
1.3,implantation,,3.16,Alignement de maisons « boomtown » sur la rue Hurteau. Implantation contigüe avec petite cour avant. UP3.16_Hurteau_5953. UP3.13_Lacroix_6884.
1.3,volumetrie,,3.16,Exemple de maison « boomtown » avec galerie frontale. Maison surélevée avec garage au sous-sol. UP3.16_D'Aragon_6017. UP3.13_Lamont_6980.
1.3,materiaux,,3.16,Maison recouverte de vinyle sur la rue Mazarin. UP3.16_Mazarin_6231.
1.3,variantes,,,"Exemple de maison « boomtown » implantée en fond de Autre exemple en fond de parcelle, rue Dumas. parcelle. UP3.12_Beaulieu_6959. UP3.16_Dumas_6053."
1.4,identification,,3.10,"Maison de vétérans typique, au 7034, rue Beaulieu. Maison de vétérans recouverte de brique et coiffée d’un toit en UP3.10_Beaulieu_7034. pavillon. UP3.5_Eadie_5996."
1.4,traitement,,,Le pignon est souligné par une couleur différente. Façade légèrement asymétrique. UP3.7_Jolicoeur_1725. UP3.7_Jolicoeur_1466.
1.4,volumetrie,,3.7,"Sur certains modèles, une galerie couverte par le Un petit porche constitue habituellement la seule saillie. prolongement du toit fait saillie. UP3.7_Angers_5980. UP3.7_Angers_6191."
1.4,volumetrie,,3.7,Maison présentant une fenêtre en saillie ainsi qu’un parement Escalier et porche forment les seules saillies. de brique contemporaine. UP3.7_Holy_Cross_1555. UP3.8_Hadley_6951.
1.4,materiaux,,3.7,"Cette maison présente plusieurs matériaux de parement sur une même façade : brique, tôle et pierre artificielle. UP3.7_Angers_6170."
1.4,variantes,,,Maisons de vétérans jumelées. UP3.16_Dumas_6540-6550 et UP3.16_Hurteau_6065-6075.
1.4,variantes,,,Maisons jumelées de type bungalow. UP2.7_Favard_2135La forme de la maison de vétérans a évolué vers celle du 2145. bungalow. UP3.8_Hadley_6945.
1.5,identification,,,"Fig. 1.5.1 : Maisons de ville situées sur la rue Lacroix, entre les"
1.5,identification,SO0344,,"Fig. 1.5.2 : Maisons de ville situées sur la rue Vinet, entre rues Allard et Springland. SO0344. l’avenue Lionel-Groulx et la rue Workman. SO0227."
2.1,identification,,,"Fig. 2.1.1 : Duplex sans marge de recul, situé sur la rue Grand"
2.1,identification,SO0182,,"Fig. 2.1.2 : Duplex sans marge de recul, situé sur la rue de Trunk, entre les rues Richmond et Shearer. SO0182. Liverpool, entre les rues de Paris et de Coleraine. SO0216."
2.1,variantes,SO2497,,"Fig. 2.1.3 : Variante 1 : Duplex avec escalier intérieur de 4 Fig. 2.1.4 : Variante 2 : Duplex jumelé avec porte cochère logements dont la composition de la façade possède trois centrale, situé au 2628-2636, rue Saint-Charles, entre les rues portes jumelées. Il est à noter qu’une seule porte donne accès Charlevoix et D’Argenson. SO2497. aux deux logements de l’étage. Situé entre les rues Knox et Ryde. SO0191."
2.1,variantes,SO0199,,"Fig. 2.1.5 : Variante 3, maison en rangée construite Fig. 2.1.6 : Variante 3, maisons en rangée construites individuellement, située sur la rue de Coleraine, entre les rues simultanément, situées sur la rue Saint-Antoine Ouest, à Charlevoix et d’Hibernia. SO0199. l’intersection de la rue du Couvent. SO0011."
2.2,identification,SO0266,,"Fig. 2.2.1 : Duplex avec escalier extérieur, 1903-1905, rue Springland. SO0266."
2.2,variantes,SO0395,,"Fig. 2.2.2 : Variante 1, duplex avec escalier extérieur Fig. 2.2.3 : Variante 2, duplex avec escalier extérieur à trois asymétrique, 6959, rue Jogues. SO0395. logements, situé sur la rue Eadie, à l’intersection de la rue Jacques-Hertel. SO0297."
2.3,identification,,,"Fig. 2.3.1 : Duplex surélevé avec portes centrales, situé sur la"
